Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2021-01-18,73.35,73.4,71.15,71.6,72.03,1013543.0,2343.0,73002902.0,218288.0,21.54,2.25,-1.75
2021-01-15,75.0,75.3,71.8,73.3,73.94,1207529.0,2774.0,89279996.0,242270.0,20.06,3.5,-1.7
2021-01-14,75.3,75.9,74.25,75.0,75.12,1066784.0,2084.0,80139173.0,112654.0,10.56,1.65,-0.3
2021-01-13,77.1,78.0,74.35,74.75,76.49,3604075.0,8943.0,275679508.0,903949.0,25.08,3.65,-2.35
2021-01-12,73.6,76.9,73.5,76.25,75.3,1929267.0,5749.0,145267394.0,705565.0,36.57,3.4,2.65
2021-01-11,76.0,76.3,73.6,74.8,74.8,1961325.0,6099.0,146715101.0,725309.0,36.98,2.7,-1.2
2021-01-08,76.6,76.75,75.4,75.75,76.12,1921389.0,6574.0,146253929.0,734015.0,38.2,1.35,-0.85
2021-01-07,74.5,76.5,73.25,75.65,74.81,3967967.0,11365.0,296832110.0,1446896.0,36.46,3.25,1.15
2021-01-06,73.1,74.2,71.4,72.7,72.84,3012434.0,9426.0,219432236.0,977606.0,32.45,2.8,-0.4
2021-01-05,70.0,72.5,69.15,72.3,71.07,3320337.0,9876.0,235991602.0,1253559.0,37.75,3.35,2.3
2021-01-04,69.0,71.35,68.8,70.55,70.33,3770033.0,12139.0,265156053.0,1718392.0,45.58,2.55,1.55
2021-01-01,66.95,68.2,66.85,68.05,67.63,1640206.0,7597.0,110923792.0,1056679.0,64.42,1.35,1.1
2020-12-31,67.05,67.2,66.35,66.7,66.83,1486554.0,3621.0,99341466.0,663217.0,44.61,0.85,-0.35
2020-12-30,67.8,68.0,66.3,67.25,66.93,1337314.0,4470.0,89504629.0,664722.0,49.71,1.7,-0.55
2020-12-29,67.7,68.25,66.4,67.45,67.42,1348413.0,8713.0,90904839.0,237439.0,17.61,1.85,-0.25
2020-12-28,65.5,67.65,65.5,67.35,67.1,2882955.0,13928.0,193447775.0,1716086.0,59.53,2.15,1.85
2020-12-24,64.5,66.05,64.5,65.2,65.34,838350.0,2104.0,54780710.0,195654.0,23.34,1.55,0.7
2020-12-23,62.15,64.75,61.3,64.2,63.8,2266506.0,5921.0,144596433.0,988173.0,43.6,3.45,2.05
2020-12-22,60.15,62.15,57.55,61.8,60.24,2215486.0,6666.0,133463191.0,510889.0,23.06,4.6,1.65
2020-12-21,66.1,66.15,59.55,60.35,62.23,4548114.0,19027.0,283036961.0,1279800.0,28.14,6.6,-5.75
2020-12-18,67.45,67.65,65.25,66.35,66.18,1730104.0,5466.0,114496734.0,528111.0,30.52,2.4,-1.1
2020-12-17,68.0,68.85,67.0,67.1,68.09,1789964.0,2123.0,121880785.0,273159.0,15.26,1.85,-0.9
2020-12-16,68.1,68.45,67.5,67.7,68.08,1756700.0,5078.0,119604803.0,667565.0,38.0,0.95,-0.4
2020-12-15,68.9,68.9,66.7,67.4,67.27,1768382.0,5921.0,118957132.0,464021.0,26.24,2.2,-1.5
2020-12-14,66.5,69.1,66.5,68.45,68.36,4070374.0,9668.0,278245606.0,1574092.0,38.67,2.6,1.95
2020-12-11,65.75,67.15,65.6,66.25,66.34,2196864.0,6747.0,145730373.0,796598.0,36.26,1.55,0.5
2020-12-10,66.6,66.6,64.9,65.5,65.38,5604498.0,7030.0,366412868.0,703950.0,12.56,1.7,-1.1
2020-12-09,66.05,67.0,65.7,66.6,66.49,2126096.0,5346.0,141371746.0,961028.0,45.2,1.3,0.55
2020-12-08,67.0,67.2,64.8,65.5,65.8,1541197.0,3445.0,101406396.0,522847.0,33.92,2.4,-1.5
2020-12-07,66.0,67.6,65.95,66.35,66.76,2408527.0,9181.0,160796884.0,980984.0,40.73,1.65,0.35
2020-12-04,66.25,67.0,64.35,66.0,65.82,2894095.0,7988.0,190495205.0,1115023.0,38.53,2.65,-0.25
2020-12-03,66.0,67.0,65.3,65.6,66.12,2652812.0,7752.0,175414858.0,1002654.0,37.8,1.7,-0.4
2020-12-02,65.5,66.95,63.75,65.05,65.38,3412488.0,12064.0,223098521.0,1097676.0,32.17,3.2,-0.45
2020-12-01,63.25,65.85,62.25,65.65,64.64,3151639.0,11798.0,203731034.0,1635638.0,51.9,3.6,2.4
2020-11-27,60.0,63.5,59.85,62.75,62.08,4820464.0,22792.0,299273131.0,2607960.0,54.1,3.65,2.75
2020-11-26,60.0,60.1,58.45,59.9,59.18,1025791.0,2309.0,60710393.0,214835.0,20.94,1.65,-0.1
2020-11-25,59.0,61.5,58.85,59.15,59.99,6795676.0,12950.0,407649949.0,2732398.0,40.21,2.65,0.15
2020-11-24,58.8,59.15,57.3,58.65,58.32,2530851.0,6449.0,147600235.0,655388.0,25.9,1.85,-0.15
2020-11-23,59.0,59.6,57.85,58.35,58.51,1732701.0,20775.0,101375123.0,474321.0,27.37,1.75,-0.65
2020-11-20,58.55,59.35,56.9,58.45,58.07,2669451.0,19713.0,155028169.0,753091.0,28.21,2.45,-0.1
2020-11-19,61.85,61.9,58.1,58.6,59.96,3796037.0,26660.0,227616218.0,1332355.0,35.1,3.8,-3.25
2020-11-18,58.0,62.5,57.25,61.9,60.24,2778081.0,34186.0,167353537.0,762623.0,27.45,5.25,3.9
2020-11-17,57.0,58.55,57.0,58.0,57.98,2592596.0,11282.0,150320308.0,1264994.0,48.79,1.55,1.0
2020-11-14,57.45,57.45,56.15,56.6,56.77,208823.0,931.0,11854765.0,108898.0,52.15,1.3,-0.85
2020-11-13,55.9,56.8,54.75,56.6,55.56,1146401.0,10727.0,63689844.0,244835.0,21.36,2.05,0.7
2020-11-12,57.4,57.45,56.2,56.25,56.67,1605218.0,9895.0,90971286.0,603169.0,37.58,1.25,-1.15
2020-11-11,59.0,59.4,56.5,57.45,58.03,1799178.0,4786.0,104414964.0,372890.0,20.73,2.9,-1.55
